Model,Rank,Average,Date,3SAT,Vertex Cover,Superstring,QDE,3DM,TSP,Hamiltonian Cycle,Bin Packing,3-COL,Min Sum Square,Bandwidth,Max Leaf Span Tree,Open-source,Reasoning,Link
DeepSeek-R1,1,0.62,2025-01,0.77,0.65,0.61,0.6,0.76,0.65,0.63,0.63,0.7,0.42,0.65,0.43,True,True,https://api-docs.deepseek.com/news/news250120
o3-mini,2,0.51,2025-01,0.59,0.5,0.5,0.63,0.52,0.35,0.55,0.43,0.73,0.36,0.57,0.4,False,True,https://openai.com/index/openai-o3-mini/
Claude-3.7-Sonnet,3,0.49,2025-02,0.39,0.55,0.79,0.34,0.35,0.66,0.43,0.3,0.2,0.68,0.63,0.52,False,False,https://www.anthropic.com/claude/sonnet
DeepSeek-V3-2503,4,0.43,2025-03,0.5,0.5,0.49,0.4,0.26,0.56,0.33,0.37,0.36,0.45,0.55,0.39,True,False,https://api-docs.deepseek.com/news/news250325
o1-mini,5,0.34,2024-09,0.45,0.44,0.23,0.22,0.41,0.39,0.3,0.27,0.38,0.21,0.59,0.2,False,True,https://openai.com/index/openai-o1-mini-advancing-cost-efficient-reasoning/
DeepSeek-V3,6,0.33,2024-12,0.27,0.43,0.37,0.25,0.12,0.45,0.19,0.21,0.16,0.46,0.64,0.45,True,False,https://api-docs.deepseek.com/news/news1226
QwQ-32B,7,0.3,2025-03,0.26,0.34,0.27,0.17,0.42,0.25,0.38,0.22,0.37,0.08,0.62,0.2,True,True,https://qwenlm.github.io/blog/qwq-32b/
GPT-4o,8,0.24,2024-11,0.22,0.33,0.2,0.12,0.11,0.32,0.16,0.18,0.1,0.38,0.62,0.16,False,False,https://openai.com/index/hello-gpt-4o/
DeepSeek-R1-32B,9,0.17,2025-01,0.2,0.32,0.13,0.16,0.14,0.2,0.14,0.03,0.1,0.06,0.5,0.06,True,True,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B
GPT-4o-mini,10,0.14,2024-07,0.14,0.22,0.05,0.08,0.05,0.15,0.12,0.04,0.06,0.17,0.58,0.05,False,False,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/